"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ndmissions_name","ND-Missions","ND-Missions","ND-Missions","ND-Missions","ND-Mission","ND-Missions","ND-Missions","ND-Missions","ND-Missions","ND-Missions","ND-Mission","ND-Missions","ND-Missions","ND-Mission",
"STR_ndmissions_desc","Unique missions system which gives you an option to spawn mission dynamically with any structures, items or creatures during gameplay. There are many missions types include own trader system with real economy.","Unique missions system which gives you an option to spawn mission dynamically with any structures, items or creatures during gameplay. There are many missions types include own trader system with real economy.","Unique missions system which gives you an option to spawn mission dynamically with any structures, items or creatures during gameplay. There are many missions types include own trader system with real economy.","Unique missions system which gives you an option to spawn mission dynamically with any structures, items or creatures during gameplay. There are many missions types include own trader system with real economy.","Уникальная система миссий, которая дает вам возможность динамически создавать миссии с любыми структурами, предметами или существами во время игрового процесса. Существует множество типов миссий, включая собственную систему торговли с реальной экономикой.","Unikalny system misji, który daje opcję dynamicznego odrodzenia misji za pomocą wszelkich struktur, przedmiotów lub stworzeń podczas rozgrywki. Istnieje wiele czasów misji obejmujących własny system handlowców z prawdziwą gospodarką.","Egyedi küldetésrendszer, amely lehetőséget ad arra, hogy a játék során bármilyen struktúrával, tárgyával vagy lényével dinamikusan szedje a küldetést. Számos küldetés van a saját kereskedői rendszerrel, a reálgazdasággal.","Sistema di missioni esclusive che offre la possibilità di generare missioni dinamicamente con qualsiasi struttura, oggetti o creature durante il gioco. Esistono molti tipi di missioni, incluso il proprio sistema commerciale a economia reale.","Sistema de misiones exclusivo que ofrece la opción de generar misiones dinámicamente con cualquier estructura, elemento o criatura durante el juego. Hay muchos tipos de misiones, incluido el propio sistema comercial de economía real.","Système de missions exclusives qui offre la possibilité de générer des missions dynamiquement avec toutes les structures, objets ou créatures pendant le jeu. Il existe de nombreux types de missions, notamment un propre système marchand réel.","ND-Mission","ゲームプレイ中に構造、アイテム、またはクリーチャーで動的にミッションを発生させるオプションを提供するユニークなミッションシステム。多くのミッションがあり、実際の経済を持つ独自のトレーダーシステムが含まれます。","Sistema de missões exclusivo que oferece a opção de gerar missões dinamicamente com quaisquer estruturas, itens ou criaturas durante o jogo. Existem muitos tipos de missões, incluindo sistema de comerciante próprio com economia real.","ND-Mission",
"STR_menuInfoSites","Info about server","Info about server","Informace o serveru","Serverinformation","Информация о сервере","Informacje o serwerze","Szerverinformációk","Informazioni sul server","información del servidor","Informations sur le serveur","服务器消息","サーバーに関する情報","Informações do servidor","服务器消息",
"STR_menuPlayerCharacter","Info about you","Info about you","Informace o tvé postavě","Informationen über deinen Charakter","Информация о игроке","Informacje o twojej postaci","Információ a karakteredről","La tua informazione","Tu información","Vos informations","你的信息","あなたについての情報","Suas informações","你的信息",
"STR_alp_lifeinsurance","Life insurance","Life insurance","Životní pojištění","Lebensversicherung","Страховка","Ubezpieczenie na życie","Életbiztosítás","Assicurazione sulla vita","Seguro de vida","Assurance-vie","人寿保险","生命保険","Seguro de vida","人寿保险",
"STR_alp_lifeinsurance_desc","Days till expiration","Days till expiration","Počet dní do vypršení platnosti","Tage bis zum Ablauf","Дней до окончания срока действия","Liczba dni do wygaśnięcia","A napok száma lejártáig","Giorni fino alla maturità","Días hasta la madurez","Jours jusqu'à la maturité","剩余天数","有効期限までの日","Dias até o vencimento","剩余天数",
"STR_alp_lifeinsurance_expired","Expired","Expired","Platnost vypršela","Abgelaufen","Срок действия истёк","Ważność wygasła","Az érvényesség lejárt","Scaduto","Venció","Expiré","已失效","期限切れ","Expirado","已失效",
"STR_alp_lifeinsurance_notactive","Life insurance is not activated","Life insurance is not activated","Životní pojištění není aktivováno","Lebensversicherung ist nicht aktiviert","Страхование жизни не активно","Ubezpieczenie na życie nie jest aktywowane","Az életbiztosítás nem aktiválódik","L'assicurazione sulla vita non è attivata","El seguro de vida no está activado","L'assurance-vie n'est pas activée","人寿保险未激活","生命保険は活性化されていません","O seguro de vida não está ativado","人寿保险未激活",
"STR_alp_debitcard","Payment card","Payment card","Platební karta","Zahlungskarte","Банковская карта","Karta kredytowa","Hitelkártya","Carta di pagamento","Tarjeta de pago","Carte de paiement","支付卡","お支払カード","Cartão de pagamento","支付卡",
"STR_alp_debitcard_desc","Default card PIN is: 1234","Default card PIN is: 1234","Výchozí PIN karty je: 1234","Die Standard-Karten-PIN ist: 1234","PIN-код по умолчанию: 1234","Domyślna karta PIN to: 1234","Az alapértelmezett PIN -kártya: 1234","Il pin della scheda predefinita è: 1234","El pin de tarjeta predeterminado es: 1234","La broche de carte par défaut est: 1234","默认卡密码为：1234","デフォルトのカードピンは1234です","O PIN padrão do cartão é: 1234","默认卡密码为：1234",
"ip_stats","Stats","Stats","Statistiky","Statistiken","Статистика","Statystyka","Statisztika","Statistiche","Estadísticas","Statistiques","人物属性","統計","Estatísticas","人物属性",
"ip_level","Your current level is ","Your current level is ","Vaše stávající úroveň je ","Dein aktuelles Level ist","Твой текущий уровень","Twój istniejący poziom jest","A meglévő szinted az","Il tuo livello attuale è","Tu nivel actual es","Votre niveau actuel est","你目前的水平是","あなたの現在のレベルはです","Seu nível atual é","你目前的水平是",
"ip_health","Health indicators","Health indicators","Ukazatele zdraví","Gesundheitsindikatoren","Показатели здоровья","Wskaźniki zdrowia","Egészségügyi mutatók","Indicatori","Indicadores","Indicateurs","健康指标","健康指標","Indicadores","健康指标",
"ip_ability","Ability","Ability","Schopnosti","Fähigkeit","Навыки","Umiejętności","Képesség","Abile","Abilitidad","Abiliité","能力","能力","Habilidade","能力",
"key_lock","Lock vehicle","Lock vehicle","Zamknout vozidlo","Fahrzeug sperren","Закрыть транспорт","Zamek","Zár","Bloccare","Bloquear","Bloc","锁车","ロック車両","Bloquear","锁车",
"key_unlock","Unlock vehicle","Unlock vehicle","Odemknout vozidlo","Fahrzeug entriegeln","Открыть транспорт","Odblokować","Kinyit","Sbloccare","desbloquear","Ouvrir","解锁汽车","車両のロックを解除します","Desbloquear","解锁汽车",
"key_createduplicate","Make a key to vehicle","Make a key to vehicle","Vytvořit klíč k vozidlu","Mach einen Schlüssel zum Fahrzeug","Создать ключ для транспорта","Utwórz klucz do pojazdu","Hozzon létre egy kulcsot a járműhöz","Crea una chiave per il veicolo","Hacer una llave para el vehículo","Faire une clé du véhicule","给车辆配一把钥匙","車両の鍵を作ります","Faça uma chave para o veículo","给车辆配一把钥匙",
"STR_alp_carkey_black","Black vehicle key","Black vehicle key","Klíč od vozidla černý","Schwarzer Autoschlüssel","Чёрный ключ от транспорта","Klucz z pojazdu czarnego","A kulcsa a járműből fekete","Chiave del veicolo nero","Llave de vehículo negro","Clé du véhicule noir","黑色的车钥匙","ブラックビークルキー","Chave preta do veículo","黑色的车钥匙",
"STR_alp_carkey_blue","Blue vehicle key","Blue vehicle key","Klíč od vozidla modrý","Blau Autoschlüssel","Синий ключ от транспорта","Klucz z pojazdu niebieskiego","A kulcs a jármű kékből","Chiave del veicolo blu","Llave del vehículo azul","Clé du véhicule bleu","蓝色的车钥匙","青い車両キー","Chave azul do veículo","蓝色的车钥匙",
"STR_alp_carkey_green","Green vehicle key","Green vehicle key","Klíč od vozidla zelený","Grün Autoschlüssel","Зелёный ключ от транспорта","Klucz z zielonego pojazdu","A kulcsa a járműből zöldből","Chiave del veicolo verde","Llave de vehículo verde","Clé de véhicule vert","绿色的车钥匙","グリーンビークルキー","Chave verde do veículo","绿色的车钥匙",
"STR_alp_carkey_yellow","Yellow vehicle key","Yellow vehicle key","Klíč od vozidla žlutý","Gelb Autoschlüssel","Жёлтый ключ от транспорта","Klucz z żółtego pojazdu","A kulcsa a járműből sárga","Chiave del veicolo giallo","Llave del vehículo amarillo","Clé de véhicule jaune","黄色的车钥匙","黄色の車両キー","Chave amarela do veículo","黄色的车钥匙",
"STR_alp_carkey_white","White vehicle key","White vehicle key","Klíč od vozidla bílý","Weiß Autoschlüssel","Белый ключ от транспорта","Klucz z białego pojazdu","A kulcs a jármű fehérjéből","Chiave del veicolo bianco","Llave de vehículo blanco","Clé de véhicule blanc","白色的车钥匙","白い車両キー","Chave branca do veículo","白色的车钥匙",
"STR_alp_carkey_purple","Purple vehicle key","Purple vehicle key","Klíč od vozidla růžový","Rosa Autoschlüssel","Фиолетовый ключ от транспорта","Klucz od pojazdu różowego","A kulcsa a járműtől rózsaszínű","Chiave viola del veicolo","Llave morada del vehículo","Clé pourpre véhicule","紫色的车钥匙","紫色の車両キー","Chave roxa do veículo","紫色的车钥匙",
"STR_alp_carkey_brown","Brown vehicle key","Brown vehicle key","Klíč od vozidla hnědý","Braun Autoschlüssel","Коричневый ключ от транспорта","Klucz brązowego pojazdu","Barna járműkulcs","Chiave del veicolo marrone","Llave de vehículo marrón","Clé de véhicule brun","棕色的车钥匙","茶色の車両キー","Chave do veículo marrom","棕色的车钥匙",
"ip_resistance","Resistance","Resistance","Odolnosti","Resistenz","Устойчивость","Opór","Ellenállás","Resistenza","Resistencia","La résistance","抗性","抵抗","Resistência","抗性",
"radzone_leave","You left radiation zone.","You left radiation zone.","Opustil si radiační zónu.","Du hast die Strahlungszone verlassen!","Ты покинул зону радиационного заражения!","Opuścił strefę promieniowania.","Elhagyta a sugárzási zónát.","Hai lasciato la zona di radiazione.","Dejaste la zona de radiación.","Vous avez quitté la zone de rayonnement.","你离开了辐射区","放射線ゾーンを去りました。","Você saiu da zona de radiação.","你离开了辐射区",
"radzone_enter","Beware you are in radiation zone!","Beware you are in radiation zone!","Pozor jsi v radiační zóně!","Achtung, Du befindest dich in der Strahlungszone!","Внимание! Ты вошёл в зону радиационного поражения!","Uważaj na strefę promieniowania!","Óvakodj a sugárzási zónától!","Fai attenzione che sei nella zona di radiazione!","¡Cuidado, estás en la zona de radiación!","Méfiez-vous que vous êtes dans la zone de rayonnement!","小心你在辐射区!","あなたが放射線ゾーンにいることに注意してください！","Cuidado você está na zona de radiação!","小心你在辐射区!",
"STR_alp_radtablets_name","Radiation blocking tablets","Radiation blocking tablets","Protiradiační tablety","Strahlenblockierende Tabletten","Таблетки радиационной защиты","Tabletki przeciwdziałające promieniowaniu","Anti -rezidációs tabletták","Compresse di bloccanti delle radiazioni","Tabletas de bloqueadores de radiación","Comprimés de bloqueurs de rayonnement","辐射降压药","放射線ブロッキング錠剤","Comprimidos bloqueadores de radiação","辐射降压药",
"STR_alp_radtablets_desc","The tablets helps you to get rid received radiation dose and offers some minor radiation protection too.","The tablets helps you to get rid received radiation dose and offers some minor radiation protection too.","Tyto tablety ti pomohou lépe se vypořádat s nakumulovanou radiací v tvém těle, zároveň poskytují i částečnou ochranu proti radiaci.","Die Tabletten helfen Ihnen dabei, die empfangene Strahlendosis loszuwerden, und bieten auch einen geringfügigen Strahlenschutz.","Таблетки помогают избавиться от полученной дозы радиации, а также обеспечивают кратковременную радиационную защиту.","Te tablety pomogą ci lepiej poradzić sobie z nagromadzonym promieniowaniem w twoim ciele, jednocześnie zapewniając częściową ochronę przed promieniowaniem.","Ezek a tabletták segítenek jobban kezelni a testben felhalmozott sugárzást, miközben részleges védelmet nyújtanak a sugárzás ellen.","Le compresse ti aiutano a sbarazzarti della dose di radiazioni ricevute e offrono anche una certa protezione contro le radiazioni più basse. (Translation_Gelouko_OTera)","Las tabletas lo ayudan a deshacerse de la dosis de radiación recibida y también ofrecen cierta protección contra una radiación más baja. (Traducción_gelouko_otera)","Les comprimés vous aident à vous débarrasser de la dose de rayonnement reçue et offrent également une certaine protection contre les rayonnements plus bas. (Traduction_gelouko_otera)","这种药片可以帮助你摆脱受到的辐射，并提供一些轻微的辐射防护（汉化翻译人：pop_xian  QQ:314074311）","このタブレットは、受け取った放射線量を取り除くのに役立ち、いくつかの軽微な放射線保護も提供します。","Os comprimidos ajudam você a se livrar da dose de radiação recebida e também oferecem alguma proteção contra radiação menor.   (Tradução_Gelouko_Otera)","这种药片可以帮助你摆脱受到的辐射，并提供一些轻微的辐射防护（汉化翻译人：pop_xian  QQ:314074311）",
"STR_alp_geiger_name","Geiger counter","Geiger counter","Geigerův počítač","Geigerzähler","Счётчик Гейгера","licznik Geigera","Geiger számlálócső","contatore Geiger","contador Geiger","compteur Geiger","辐射计数器","ガイガーカウンター","Contador Geiger","辐射计数器",
