"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ndrp_name","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-Role-Playing","ND-  Função -Jogando","ND-Role-Playing",
"STR_ndrp_desc","Many features improving role playing like perks, expanded NPC interactions etc.","Many features improving role playing like perks, expanded NPC interactions etc.","Many features improving role playing like perks, expanded NPC interactions etc.","Many features improving role playing like perks, expanded NPC interactions etc.","Многие функции, улучшающие ролевую игру, такие как перки, расширенные взаимодействия с NPC и т.д.","Wiele funkcji poprawione role, takie jak profity, rozszerzone interakcje NPC itp.","Számos funkció javított szerepjáték, mint például a Perks, a kibővített NPC interakciók stb.","Molte caratteristiche che migliorano il gioco di ruolo come vantaggi, interazioni NPC ampliate ecc.","Muchas características mejoran RPG como ventajas, interacciones NPC expandidas, etc.","De nombreuses fonctionnalités améliorant le RPG en tant qu'avantages, les interactions NPC élargies, etc.","ND-Mission","特典、拡張されたNPC相互作用などのロールプレイを改善する多くの機能。","Muitos recursos melhorando o rpg como vantagens, interações expandidas de NPC etc. ","ND-Mission",
"STR_alp_anabolic0","Anabolic steroids","Anabolic steroids","Anabolické steroidy","Anabolika","Анаболики","Steryd anaboliczny","Anabolikus szteroid","Steroidi anabolizzanti","Esteroides anabólicos","Stéroides anabolisants","耐力激素","同化ステロイド","Esteroides anabólicos","耐力激素",
"STR_alp_anabolic1","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolické steroidy neboli anabolické androgenní steroidy jsou syntetické deriváty látky podobné mužskému hormonu testosteronu.","Anabole Steroide sind synthetische Abkömmlinge des männlichen Sexualhormons Testosteron.","Анаболические стероиды - это синтетические или натуральные разновидности мужского полового гормона тестостерона.","Anaboliczne sterydy lub anaboliczne androgenne sterydy są syntetycznymi pochodnymi substancji podobnych do męskiego hormonu testosteronu.","Az anabolikus szteroidok vagy az anabolikus androgén szteroidok az anyagok szintetikus származékai, hasonlóan a tesztoszteron hím hormonjához.","Gli steroidi sintetici sono realizzati con variazioni di ormoni sessuali testosterone.","Los esteroides sintéticos están hechos de variaciones de hormonas sexuales testosterona.","Les stéroïdes synthétiques sont faits de variations d'hormones sexuelles testostérone.","耐力激素是人造的，它是荷尔蒙雄性激素的变体，注射后可以急速恢复你的耐力有3-5分钟时效，同时增加你的耐力数值。","アナボリックステロイドは、男性の性ホルモンテストステロンの合成、または人間が覆われたバリエーションです。","Esteroides sintéticos são feitos de variações do hormônio sexual testosterona.","耐力激素是人造的，它是荷尔蒙雄性激素的变体，注射后可以急速恢复你的耐力有3-5分钟时效，同时增加你的耐力数值。",
"ip_stamina","Stamina","Stamina","Výdrž","Stamina","Выносливость","Wytrwałość","Állóképesség","Resistenza","Resistencia","La résistance","耐力","元気","Resistência","耐力",
"ip_staminamdf","Increasing your stamina by ","Increasing your stamina by ","Zvyšuje vaší staminu o ","Steigern du deine Stamina um ","Выносливость увеличена на","Zwiększa twoje wytrzymałość","Növeli a STAMIN -t","Aumentando la tua resistenza di ...","Aumentando su resistencia por ...","Augmenter votre résistance par ...","增加你的耐力","スタミナを増やします","Aumentando sua resistência por...","增加你的耐力",
"ip_you_have_improved_your_stamina","You have improved your stamina","You have improved your stamina","Právě sis vylepšil svou fyzickou kondici","Du hast dein Stamina verbessert.","Ты повысил свою выносливость","Właśnie poprawiłeś swoją kondycję fizyczną","Most javította a fizikai állapotát","Hai migliorato la tua resistenza","Has mejorado tu resistencia","Vous avez amélioré votre résistance","你的耐力提高了","あなたはあなたのスタミナを改善しました","Você melhorou sua resistência","你的耐力提高了",
"ip_specialtysoft","Manual skills (soft)","Manual skills (soft)","Ruční dovednosti (měkké)","Manuelle Fähigkeiten (weich)","Навык лёгкого ручного труда","Umiejętności ręczne (miękkie)","Kézi készségek (puha)","Abilità manuali (morbide)","Habilidades manuales (suave)","Compétences manuelles (douce)","手工技能(精细)","マニュアルスキル（ソフト）","Habilidades manuais (suaves)","手工技能(精细)",
"ip_specialtyrough","Manual skills (rough)","Manual skills (rough)","Ruční dovednosti (hrubé)","Manuelle Fähigkeiten (grob)","Навык грубого ручного труда","Umiejętności ręczne (brutto)","Kézi készségek (bruttó)","Abilità manuali (maleducato)","Habilidades manuales (grosero)","Compétences manuelles (impolies)","手工技能(粗糙)","マニュアルスキル（ラフ）","Habilidades manuais (grosseiras)","手工技能(粗糙)",
"ip_reputationmdf","Unlocking some trader categories and gives you better prices at trader.","Unlocking some trader categories and gives you better prices at trader.","Odemyká položky u obchodníka a zároveň dostaneš lepší ceny.","Schaltet die Artikel im Laden frei und du erhältst gleichzeitig bessere Preise.","Открывает некоторые категории товаров у торговца и делает цены выгоднее","Odblokuj przedmioty u sprzedawcy, jednocześnie uzyskując lepsze ceny.","Nyissa ki az elemeket a kereskedőnél, miközben jobb árakat kap.","Sblocca alcune categorie di trader e ti dà prezzi migliori.","Desbloquee algunas categorías de comerciantes y le brinda mejores precios.","Déverrouillez certaines catégories de trader et vous donne de meilleurs prix.","解锁一些商人种类，给你更好的优惠价格.","いくつかのトレーダーカテゴリのロックを解除し、トレーダーでより良い価格を提供します。","Desbloquea algumas categorias de trader e lhe dá melhores preços.","解锁一些商人种类，给你更好的优惠价格.",
"ip_reputationsalesmdf","Improving prices at merchants by","Improving prices at merchants by","Zlepšení cen u obchodníků o","Verbesserung der Preise bei Händlern durch","Цены выгоднее на","Poprawa cen w handlowcach","Az árak javulása a kereskedőknél","Migliorare i prezzi sui trader di ....","Mejora de los precios en los comerciantes por ...","Améliorer les prix des commerçants par ...","提高商家的价格","商人の価格の改善","Melhorando os preços nos comerciantes por ....","提高商家的价格",
"ip_reputation","Reputation","Reputation","Reputace","Reputation","Репутация","Reputacja","Hírnév","Reputazione: (traduzione_gelouko_otera)","Reputación: (traducción_gelouko_otera)","Réputation: (traduction_gelouko_otera)","军衔","評判","Reputação:          (Tradução_Gelouko_Otera)","军衔",
"ip_reputation_score","Your current reputation","Your current reputation","Tvá stávající reputace","Dein aktueller Ruf","Твоя текущая репутация","Twoja istniejąca reputacja","Meglévő hírneved","La tua reputazione attuale","Tu reputación actual","Votre réputation actuelle","你现在的声望","あなたの現在の評判","Sua reputação atual","你现在的声望",
"ip_reputation_scoremax","Your highest reached reputation","Your highest reached reputation","Vaše nejvyšší dosažená reputace","Dein höchster Ruf","Твой лучший показатель репутации","Twoja najwyższa reputacja","A legmagasabb elért hírneved","La sua più grande reputazione raggiunta","Su mayor reputación lograda","Sa plus grande réputation a été réalisée","您最高的声望","あなたの最高の評判","Sua maior reputação alcançada","您最高的声望",
"ip_rank0","Private","Private","Vojín","Soldat","Рядовой","Prywatny","Magán","Soldato (EV) e 2a classe","Soldado (EV) y 2da clase","Soldat (ev) et 2e classe","列兵","プライベート","Soldado (EV) e Taifeiro 2ª Classe","列兵",
"ip_rank1","Private First Class","Private First Class","Svobodník","Gefreiter","Ефрейтор","Liniowiec","Bélés","Studente (CFS)","Estudiante (CFS)","Étudiant (CFS)","上等兵","一士","Aluno (cfs)","上等兵",
"ip_rank2","Corporal","Corporal","Desátník","Feldwebel","Младший сержант","Kapral","Tizedes","Studente (CFS)","Estudiante (CFS)","Étudiant (CFS)","下士","伍長","Aluno (cfs)","下士",
"ip_rank3","Sergeant","Sergeant","Četař","Oberfeldwebel","Сержант","Sierżant","Őrmester","Cavo","Cable","Câble","中士","軍曹","Cabo e Taifero-mor","中士",
"ip_rank4","Staff Sergeant","Staff Sergeant","Rotný","Hauptfeldwebel","Старший сержант","Gad","Hüllő","3 ° sergente","3er sargento","3e sergent","上士","スタッフ軍曹","3º Sargento","上士",
"ip_rank5","Sergeant First Class","Sergeant First Class","Rotmistr","Stabsfeldwebel","Старшина","Sierżant","Őrmester","2 ° sergente","Segundo sargento","2e sergent","少尉","軍曹ファーストクラス","2º Sargento","少尉",
"ip_rank6","Master Sergeant","Master Sergeant","Nadrotmistr","Oberstabsfeldwebel","Прапорщик","Super gorące","Nagyon meleg","1 ° sergente","Primer sargento","1er sergent","中尉","曹長","1º Sargento","中尉",
"ip_rank7","First Sergeant","First Sergeant","Praporčík","Fahnenjunker","Старший прапорщик","Flaga","Zászló","Sublisherman","Sublisherman","Sublicher","上尉","最初の軍曹","Subtenente","上尉",
"ip_rank8","Command Sergeant Major","Command Sergeant Major","Nadpraporčík","Fähnrich","Младший лейтенант","Nadproże","Szemöldökfa","Cadetto","Cadete","Cadet","大尉","コマンド軍曹","Cadete","大尉",
"ip_rank9","Sergeant Major of the Army","Sergeant Major of the Army","Štábní praporčík","Leutnant","Лейтенант","Personel","Személyzet","Candidato ufficiale","Candidato oficial","Candidat à l'officier","少校","陸軍軍曹","Aspirante a Oficial","少校",
"ip_rank10","Second Lieutenant","Second Lieutenant","Poručík","Second Lieutenant","Oberleutnant","Porucznik","Hadnagy","2 ° tenente","segundo teniente","2e lieutenant","中校","少尉","2º Tenente","中校",
"ip_rank11","First Lieutenant","First Lieutenant","Nadporučík","Hauptmann","Капитан-лейтенант","Porucznik","Hadnagy","1 ° tenente (cpo)","1er teniente (CPOR)","1er lieutenant (CPOR)","上校","中尉","1º Tenente (CPOR)","上校",
"ip_rank12","Captain","Captain","Kapitán","Stabshauptmann","Капитан","Kapitan","Kapitány","Capitano","Capitán","Capitaine","大校","キャプテン","Capitão","大校",
"ip_rank13","Major","Major","Major","Major","Майор","Główny","Jelentősebb","Maggiore","Importante","Principal","少将","選考科目","Major","少将",
"ip_rank14","Lieutenant Colonel","Lieutenant Colonel","Podplukovník","Oberstleutnant","Подполковник","Podpułkownik","Alezredes","tenente colonnello","Teniente Coronel","lieutenant colonel","中将","中佐","Tenente-Coronel","中将",
"ip_rank15","Colonel","Colonel","Plukovník","Oberst","Полковник","Pułkownik","Ezredes","Colonnello","Coronel","Colonel","上将","大佐","Coronel","上将",
"ip_rank16","Brigadier General","Brigadier General","Brigádní generál","Brigadegeneral","Генерал-майор","Brygada generała","dandártábornok","Brigata generale","Brigada general","Brigade générale","大将","准将","General de Brigada","大将",
"ip_rank17","Major General","Major General","Generálmajor","Generalmajor","Генерал-лейтенант","Ogólny","Tábornok","Divisione generale","División General","Division générale","元帅","少将","General de Divisão","元帅",
"ip_rank18","Lieutenant General","Lieutenant General","Generálporučík","Generalleutnant","Генерал-полковник","Ogólny","Tábornok","generale dell'esercito","general de la Armada","général de l'armée","大元帅","中将","General de Exército","大元帅",
"ip_rank19","General","General","Armádní generál","General","Генерал армии","Generał Wojska","Katonai tábornok","Maresciallo","Mariscal","Maréchal","肝帝","全般的","Marechal","肝帝",
"ip_you_have_been_promoted_to","You have been promoted to","You have been promoted to","Právě jsi byl povýšen na","Du bist befördert zum ","Тебя повысили до","Po prostu zostałeś awansowany","Csak előléptettek","Sei stato promosso a","Fuiste ascendido a","Vous avez été promu","你被提升为","あなたは昇進しました","Você foi promovido a","你被提升为",
"ip_you_have_been_degraded_to","You have been degraded to","You have been degraded to","Právě jsi byl degradován na","Du wurdest degradiert zum ","Тебя понизили до","Po prostu zostałeś zdegradowany","Csak degradáltak","Sei stato relegato a","Has sido relegado a","Vous avez été relégué à","你已经降级到","あなたは劣化しています","Você foi rebaixado a","你已经降级到",
"ip_role_bandit","You are outlaw who shoots first and then asks.","You are outlaw who shoots first and then asks.","Jste psanec, který nejdřív stříli a pak se ptá, pokud je ještě koho.","Du bist ein Gesetzloser, der zuerst schießt und dann fragt.","Ты преступник, тот, кто первым стреляет, а потом спрашивает.","Jesteś napisanym, który najpierw strzelił, a następnie pyta, czy on jest jeszcze.","Te vagy egy írás, aki először lövöldözött, majd megkérdezi, hogy van -e még.","Sei fuori legge che lancia prima e poi chiede.","Estás fuera de la ley que arroja primero y luego pregunta.","Vous êtes un extérieur qui lance d'abord puis demande.","负声望为土匪（您现在是土匪）","あなたは最初に撮影してから尋ねる無法者です。","Você é um fora-da-lei que atira primeiro e depois pergunta.","负声望为土匪（您现在是土匪）",
"ip_role_hero","You are act like real hero. Enjoy your short life.","You are act like real hero. Enjoy your short life.","Jsi rozený hrdina, škoda že takový umírají vždy jako první","Du bist wie ein echter Held. Genieße dein kurzes Leben.","Вы ведете себя как настоящий герой. Наслаждайся своей короткой жизнью.","Jesteście urodzonym bohaterem, litość, że zawsze umierają jako pierwszy","Született hős vagy, sajnálom, hogy először mindig meghalnak","Ti stai comportando come un vero eroe. Goditi la tua breve vita.","Estás actuando como un verdadero héroe. Disfruta tu corta vida.","Vous agissez comme un vrai héros. Profitez de votre courte vie.","正声望为英雄（您现在是英雄）","あなたは本当のヒーローのように振る舞っています。あなたの短い人生を楽しんでください。","Você está agindo como um verdadeiro herói. Aproveite sua curta vida.","正声望为英雄（您现在是英雄）",
"ip_halloffame","Hall of fame","Hall of fame","Síň slávy","Ruhmeshalle","Зал славы","sala sławy","Hírességek Csarnoka","gruppo di personaggi famosi","Hall de la Fama","Temple de la renommée","光荣榜","栄誉殿堂","Hall da fama","光荣榜",
"ip_hf_name","Name","Name","Jméno","Name","Имя","Imię","Név","Nome","Nombre","Nom","姓名","名前","Nome","姓名",
"ip_hf_reputation","Reputation","Reputation","Reputace","Reputation","Репутация","Reputacja","Hírnév","Reputazione","Reputación","Réputation","声誉","評判","Reputação","声誉",
"ip_hf_killedplayers","Killed Players","Killed Players","Zabitých hráčů","Getötete Spieler","Убито игроков","Zabici gracze","Megölt játékosok","Giocatori morti","Jugadores muertos","Joueurs morts","杀死玩家","殺された選手","Jogadores Mortos","杀死玩家",
"ip_hf_skinnedplayers","Skinned Players","Skinned Players","Vykuchaných hráčů","Enthäutete Spieler","Разделано игроков","Pattni gracze","Kötési játékosok","Corpi sottili","Cuerpos saltados","Corps soppy","解剖玩家","皮を剥いたプレイヤー","Corpos esfolados","解剖玩家",
"ip_hf_killedzombies","Killed Zombies","Killed Zombies","Zabitých zedů","Getötete Zombies","Убито зомби","Zabity","Megölt","Zombi morti","Zombies muertos","Zombies mortes","杀死丧尸","ゾンビを殺した","Zumbis Mortos","杀死丧尸",
"ip_hf_killedanimals","Killed Animals","Killed Animals","Zabitých zvířat","Getötete Tiere","Убито животных","Zwierząt","Állatok","Animali morti","Animales muertos","Animaux morts","杀死动物","殺された動物","Animais Mortos","杀死动物",
"npc_spreadrumours","Spread rumors","Spread rumors","Šiřit zvěsti","Gerüchte verbreiten","Распустить слухи","Szept","Suttogás","Diffondere voci","Difundir rumores","Répandre des rumeurs","散播谣言","噂を広めます","Espalhe rumores","散播谣言",
"npc_gossipmenu","Gossip","Gossip","Drby","Tratsch","Сплетня","Plotki","Pletyka","Pettegolezzo","Chisme","Potins","闲话","ゴシップ","Fofoca","闲话",
"npc_bribes","Bribes","Bribes","Úplatky","Bestechungsgelder","Взятки","Łapówki","Megvesztegetés","Tangenti","Sobornos","Putain","贿赂NPC","賄賂","Subornos","贿赂NPC",
"npc_gossipnegative","negative gossip","negative gossip","negativní pomluvy","negativer Klatsch","негативные сплетни","negatywne zniesławienie","negatív rágalmazás","Gossip negativo","Chismes negativos","Potins négatifs","负声望","否定的なゴシップ","Fofocas negativas","负声望",
"npc_gossippositive","positive gossip","positive gossip","pozitivní drby","positiver Klatsch","положительные сплетни","plotki","pletyka","Gossip positivo","Chismes positivos","Ragots positifs","正声望","ポジティブなゴシップ","Fofocas positivas","正声望",
